时间,实际功率(MW),预测功率_带NWP_XGB(MW),预测功率_无NWP_XGB(MW)
2019-05-25 23:30:00,2.344285,3.4360547,3.6953714
2019-05-25 23:45:00,3.107953,5.0518785,5.7408457
2019-05-26 00:00:00,4.812888,3.985618,5.303563
2019-05-26 00:15:00,6.908536,4.1438847,5.9770226
2019-05-26 00:30:00,7.725484,4.886643,7.3008003
2019-05-26 00:45:00,8.577950999999999,5.2212753,7.0180483
2019-05-26 01:00:00,9.412659,6.0543594,7.4299417
2019-05-26 01:15:00,10.24737,7.209496,7.9091225
2019-05-26 01:30:00,10.21185,8.079498,9.416345
2019-05-26 01:45:00,11.11759,9.140317,9.4212055
2019-05-26 02:00:00,11.9523,10.061335,10.377605
2019-05-26 02:15:00,12.64493,10.925958,10.906369
2019-05-26 02:30:00,13.12444,10.4978695,10.118592
2019-05-26 02:45:00,13.33756,11.403855,11.437621
2019-05-26 03:00:00,13.92363,11.477659,11.254754
2019-05-26 03:15:00,14.34986,10.720065,10.503874
2019-05-26 03:30:00,13.00012,10.66844,10.727597
2019-05-26 03:45:00,11.40175,10.570429,11.037588
2019-05-26 04:00:00,11.18863,9.57505,11.261261
2019-05-26 04:15:00,15.11353,9.29231,10.28727
2019-05-26 04:30:00,15.273370000000002,9.359966,11.21756
2019-05-26 04:45:00,15.39769,9.379463,11.759467
2019-05-26 05:00:00,14.84714,8.622943,10.796421
2019-05-26 05:15:00,12.50285,7.233419,10.399693
2019-05-26 05:30:00,5.949511,7.452279,11.2710085
2019-05-26 05:45:00,5.452238,6.515554,11.206054
2019-05-26 06:00:00,5.842952,6.674257,11.873231
2019-05-26 06:15:00,2.557401,6.003568,9.722338
2019-05-26 06:30:00,1.172142,6.3692026,9.818234
2019-05-26 06:45:00,4.475453,5.2706866,9.647289
2019-05-26 07:00:00,7.263731,4.9416943,9.103498
2019-05-26 07:15:00,5.221362,5.1741824,9.132664
2019-05-26 07:30:00,3.99594,4.3720865,8.102956
2019-05-26 07:45:00,4.084739,4.135616,6.846608
2019-05-26 08:00:00,3.019155,3.570486,6.4451847
2019-05-26 08:15:00,2.930356,2.2533374,5.5750403
2019-05-26 08:30:00,0.816948,1.943155,5.2148767
2019-05-26 08:45:00,0.248636,3.752899,4.755208
2019-05-26 09:00:00,0.301915,3.07842,3.6085284
2019-05-26 09:15:00,0.443993,2.552472,3.1497035
2019-05-26 09:30:00,0.372954,2.1194196,3.0952916
2019-05-26 09:45:00,0.372954,1.6185122,2.5626082
2019-05-26 10:00:00,0.159838,1.0673733,1.3096488
2019-05-26 10:15:00,0.0,0.9690511,1.0040927
2019-05-26 10:30:00,0.0,0.64244914,0.55577207
2019-05-26 10:45:00,0.0,0.2784853,0.37926102
2019-05-26 11:00:00,0.0,0.27436638,0.36455894
2019-05-26 11:15:00,0.0,0.22475648,0.17233706
2019-05-26 11:30:00,0.0,0.22475648,0.17233706
2019-05-26 11:45:00,0.0,0.22475648,0.17222118
2019-05-26 12:00:00,0.0,0.22552061,0.17218637
2019-05-26 12:15:00,0.0,0.22552061,0.17124867
2019-05-26 12:30:00,0.0,0.22520065,0.17116547
2019-05-26 12:45:00,0.0,0.22520065,0.17116547
2019-05-26 13:00:00,0.0,0.23093438,0.17120957
2019-05-26 13:15:00,0.0,0.22995329,0.17120957
2019-05-26 13:30:00,0.0,0.22995329,0.17120957
2019-05-26 13:45:00,0.0,0.22995329,0.17120957
2019-05-26 14:00:00,0.0,0.23893762,0.17120957
2019-05-26 14:15:00,0.0,0.23893762,0.17120957
2019-05-26 14:30:00,0.0,0.23893762,0.17120957
2019-05-26 14:45:00,0.0,0.23893762,0.17120957
2019-05-26 15:00:00,0.0,0.23893762,0.17120957
