datetime,实际功率(MW),预测功率_无NWP(MW),预测功率_原始NWP(MW),预测功率_降尺度NWP(MW)
2018-11-24 00:00:00,1.562856,1.941026,1.6639755,1.6281562
2018-11-24 00:15:00,2.699479,2.1357005,2.9735918,2.8018246
2018-11-24 00:30:00,5.665355,2.9026647,3.9814434,4.1311464
2018-11-24 00:45:00,6.926296000000001,3.730141,5.442524,5.5506253
2018-11-24 01:00:00,8.133958,4.9654894,6.6268916,6.730979
2018-11-24 01:15:00,9.288341,5.7275367,7.0532746,7.2155943
2018-11-24 01:30:00,10.46048,6.2923007,7.786124,8.024613
2018-11-24 01:45:00,11.47279,7.0436664,8.133015,8.467335
2018-11-24 02:00:00,12.36077,7.7156677,9.16113,9.677971
2018-11-24 02:15:00,13.35532,7.9014215,9.386491,9.912192
2018-11-24 02:30:00,14.06571,8.082356,10.012309,10.220459
2018-11-24 02:45:00,14.47418,8.909908,11.3269415,11.194811
2018-11-24 03:00:00,14.54522,9.879563,11.536125,11.325053
2018-11-24 03:15:00,15.07801,10.225179,11.49702,11.751323
2018-11-24 03:30:00,15.34441,10.241277,11.952532,12.37675
2018-11-24 03:45:00,15.273370000000002,10.225179,12.466373,12.679161
2018-11-24 04:00:00,15.14905,10.194603,12.560912,12.583325
2018-11-24 04:15:00,15.07801,11.1543255,12.526899,12.577749
2018-11-24 04:30:00,14.88266,10.595513,12.111727,12.292586
2018-11-24 04:45:00,14.45642,11.028581,11.438096,11.807315
2018-11-24 05:00:00,14.012429999999998,10.276278,11.311791,11.708287
2018-11-24 05:15:00,13.4086,8.850567,10.897206,11.502133
2018-11-24 05:30:00,13.24876,9.960626,10.287435,10.327071
2018-11-24 05:45:00,12.02334,8.052844,9.365826,9.807003
2018-11-24 06:00:00,11.57935,8.509477,8.790625,9.254072
2018-11-24 06:15:00,9.803372,7.637362,8.686192,8.84294
2018-11-24 06:30:00,9.146262,7.944269,8.538721,8.4964
2018-11-24 06:45:00,8.293796,6.302955,7.597679,7.8515205
2018-11-24 07:00:00,7.317010000000001,4.940835,6.295678,6.396595
2018-11-24 07:15:00,6.1803870000000005,4.6275783,4.7714863,4.957958
