datetime,实际功率(MW),预测功率_无NWP(MW),预测功率_原始NWP(MW),预测功率_降尺度NWP(MW)
2019-02-22 00:00:00,2.00685,2.817333,2.310322,2.2969565
2019-02-22 00:15:00,2.148928,3.4118547,3.5692806,3.4344146
2019-02-22 00:30:00,2.8237970000000003,3.8687613,3.7853942,4.3122344
2019-02-22 00:45:00,3.800583,4.754786,6.0655746,6.4274063
2019-02-22 01:00:00,4.972725,6.0300474,6.500561,6.952282
2019-02-22 01:15:00,4.724089,7.0323744,6.9254236,7.14606
2019-02-22 01:30:00,5.416718,7.801673,8.229614,8.608172
2019-02-22 01:45:00,7.441327999999999,9.450762,9.14215,9.002673
2019-02-22 02:00:00,7.725484,10.96619,9.379495,9.294213
2019-02-22 02:15:00,8.471392999999999,11.242647,10.0606165,9.661926
2019-02-22 02:30:00,9.394898,11.040849,10.459098,9.945071
2019-02-22 02:45:00,9.838892,11.2054,10.367824,9.673283
2019-02-22 03:00:00,11.66814,12.106794,10.734247,10.557115
2019-02-22 03:15:00,11.8635,12.157015,11.2781105,10.984407
2019-02-22 03:30:00,13.1422,12.148486,11.148869,11.5306
2019-02-22 03:45:00,13.78155,12.316024,12.633857,12.73487
2019-02-22 04:00:00,13.42636,12.319132,11.678557,12.13012
2019-02-22 04:15:00,13.08892,12.252242,11.822741,11.074345
2019-02-22 04:30:00,12.36077,11.245343,10.320857,10.082616
2019-02-22 04:45:00,12.37853,12.319132,11.025218,10.87914
2019-02-22 05:00:00,11.7747,12.243236,9.89958,9.664738
2019-02-22 05:15:00,8.70227,11.949877,9.05085,8.813672
2019-02-22 05:30:00,7.032854,11.843017,9.631609,9.479078
2019-02-22 05:45:00,6.5533410000000005,11.095825,9.422247,8.912726
2019-02-22 06:00:00,6.056069,9.808963,9.120147,8.935775
2019-02-22 06:15:00,5.896230999999999,9.09439,6.922437,6.971475
2019-02-22 06:30:00,5.7896730000000005,9.376597,8.381944,7.888049
2019-02-22 06:45:00,5.452238,9.225344,7.502857,7.1277246
2019-02-22 07:00:00,4.475453,8.927235,7.1362553,6.5712743
2019-02-22 07:15:00,3.871622,8.582788,6.8571014,6.24584
2019-02-22 07:30:00,3.392109,7.5404663,6.527218,5.211682
2019-02-22 07:45:00,2.8237970000000003,6.0394506,4.744921,4.637709
2019-02-22 08:00:00,2.66396,5.262526,4.349259,3.9346225
2019-02-22 08:15:00,2.326525,3.9903035,3.1134336,3.01071
2019-02-22 08:30:00,1.847012,3.262313,2.4400501,2.3931255
2019-02-22 08:45:00,1.474058,2.9643934,2.0801153,2.1719427
2019-02-22 09:00:00,1.118863,2.5662951,1.4130657,1.3345377
2019-02-22 09:15:00,0.586071,0.9588649,0.75416327,0.7597513
2019-02-22 09:30:00,0.266396,0.4133339,0.3964672,0.32821608
2019-02-22 09:45:00,0.0177599999999999,0.105802774,0.24887443,0.23669577
2019-02-22 10:00:00,0.0,0.07348728,0.23120403,0.19327116
2019-02-22 10:15:00,0.0,0.07348728,0.23120403,0.19327116
2019-02-22 10:30:00,0.0,0.07348728,0.23120403,0.19327116
2019-02-22 10:45:00,0.0,0.07348728,0.23120403,0.19327116
2019-02-22 11:00:00,0.0,0.07348728,0.23120403,0.19327116
2019-02-22 11:15:00,0.0,0.07348728,0.23120403,0.19327116
2019-02-22 11:30:00,0.0,0.07348728,0.23120403,0.19327116
2019-02-22 11:45:00,0.0,0.07348728,0.23120403,0.19327116
2019-02-22 12:00:00,0.0,0.072907925,0.23120403,0.19327116
2019-02-22 12:15:00,0.0,0.072684765,0.23120403,0.19327116
2019-02-22 12:30:00,0.0,0.07110405,0.23120403,0.19327116
2019-02-22 12:45:00,0.0,0.07110405,0.23120403,0.19327116
2019-02-22 13:00:00,0.0,0.071112394,0.23120403,0.19327116
2019-02-22 13:15:00,0.0,0.071112394,0.23120403,0.19327116
2019-02-22 13:30:00,0.0,0.071112394,0.23120403,0.19327116
2019-02-22 13:45:00,0.0,0.071112394,0.23120403,0.19327116
2019-02-22 14:00:00,0.0,0.071112394,0.23120403,0.19327116
2019-02-22 14:15:00,0.0,0.071112394,0.23120403,0.19327116
2019-02-22 14:30:00,0.0,0.071112394,0.23120403,0.19327116
2019-02-22 14:45:00,0.0,0.071112394,0.23120403,0.19327116
2019-02-22 15:00:00,0.0,0.071112394,0.23120403,0.19327116
2019-02-22 15:15:00,0.0,0.071112394,0.23120403,0.19327116
2019-02-22 15:30:00,0.0,0.071112394,0.23120403,0.19327116
2019-02-22 15:45:00,0.0,0.071112394,0.23120403,0.19327116
2019-02-22 16:00:00,0.0,0.071112394,0.23120403,0.19327116
2019-02-22 16:15:00,0.0,0.071112394,0.23120403,0.19327116
2019-02-22 16:30:00,0.0,0.071112394,0.23120403,0.19327116
2019-02-22 16:45:00,0.0,0.071112394,0.23120403,0.19327116
2019-02-22 17:00:00,0.0,0.071112394,0.23120403,0.19327116
2019-02-22 17:15:00,0.0,0.071112394,0.23120403,0.19327116
2019-02-22 17:30:00,0.0,0.071112394,0.23120403,0.19327116
2019-02-22 17:45:00,0.0,0.071112394,0.23120403,0.19327116
2019-02-22 18:00:00,0.0,0.071112394,0.23120403,0.19327116
2019-02-22 18:15:00,0.0,0.071112394,0.23120403,0.19327116
2019-02-22 18:30:00,0.0,0.071112394,0.23120403,0.19327116
2019-02-22 18:45:00,0.0,0.071112394,0.23120403,0.19327116
2019-02-22 19:00:00,0.0,0.071112394,0.23120403,0.19327116
2019-02-22 19:15:00,0.0,0.071112394,0.23120403,0.19327116
2019-02-22 19:30:00,0.0,0.071112394,0.23120403,0.19327116
2019-02-22 19:45:00,0.0,0.071112394,0.23120403,0.19327116
2019-02-22 20:00:00,0.0,0.071112394,0.23120403,0.19327116
2019-02-22 20:15:00,0.0,0.071112394,0.23120403,0.19327116
2019-02-22 20:30:00,0.0,0.071112394,0.23120403,0.19327116
2019-02-22 20:45:00,0.0,0.071112394,0.23120403,0.19327116
2019-02-22 21:00:00,0.0,0.071112394,0.23120403,0.19327116
2019-02-22 21:15:00,0.0,0.071112394,0.23120403,0.19327116
2019-02-22 21:30:00,0.0,0.071112394,0.23120403,0.19327116
2019-02-22 21:45:00,0.0,0.071112394,0.23120403,0.19327116
2019-02-22 22:00:00,0.0,0.071112394,0.23120403,0.19327116
2019-02-22 22:15:00,0.0,0.071112394,0.23120403,0.19327116
2019-02-22 22:30:00,0.0,0.072353125,0.23120403,0.19496799
2019-02-22 22:45:00,0.0,0.072353125,0.23120403,0.19496799
2019-02-22 23:00:00,0.0,0.080150604,0.23384953,0.23331738
2019-02-22 23:15:00,0.355195,0.37728333,0.46121812,0.42895937
2019-02-22 23:30:00,1.207662,0.84332275,0.87974334,0.8061352
2019-02-22 23:45:00,2.379804,2.129396,1.9198592,1.7997403
2019-02-23 00:00:00,3.516427,3.315255,2.5703897,3.1133482
2019-02-23 00:15:00,4.741848,3.4287517,3.6667933,3.7535355
2019-02-23 00:30:00,6.002789,4.2812614,4.39746,5.1627464
2019-02-23 00:45:00,7.29925,4.6346073,5.582704,6.148233
