起报时间,预报时间,实际功率(MW),XGBoost预测功率(MW)
2018/11/23/00:00,2018/11/24/00:00,1.562856,1.4677444
2018/11/23/00:00,2018/11/24/00:15,2.699479,1.9062699
2018/11/23/00:00,2018/11/24/00:30,5.665355,3.0385463
2018/11/23/00:00,2018/11/24/00:45,6.926296000000001,3.9834688
2018/11/23/00:00,2018/11/24/01:00,8.133958,5.503509
2018/11/23/00:00,2018/11/24/01:15,9.288341,5.2329445
2018/11/23/00:00,2018/11/24/01:30,10.46048,5.6793833
2018/11/23/00:00,2018/11/24/01:45,11.47279,5.7883596
2018/11/23/00:00,2018/11/24/02:00,12.36077,6.937127
2018/11/23/00:00,2018/11/24/02:15,13.35532,6.9234543
2018/11/23/00:00,2018/11/24/02:30,14.06571,7.109378
2018/11/23/00:00,2018/11/24/02:45,14.47418,7.4151187
2018/11/23/00:00,2018/11/24/03:00,14.54522,8.857603
2018/11/23/00:00,2018/11/24/03:15,15.07801,9.256333
2018/11/23/00:00,2018/11/24/03:30,15.14905,9.238689
2018/11/23/00:00,2018/11/24/03:45,15.14905,9.458869
2018/11/23/00:00,2018/11/24/04:00,15.14905,9.647626
2018/11/23/00:00,2018/11/24/04:15,15.07801,9.526186
2018/11/23/00:00,2018/11/24/04:30,14.88266,9.587702
2018/11/23/00:00,2018/11/24/04:45,14.45642,9.531248
2018/11/23/00:00,2018/11/24/05:00,14.012429999999998,9.501611
2018/11/23/00:00,2018/11/24/05:15,13.4086,9.200153
2018/11/23/00:00,2018/11/24/05:30,13.24876,7.6905336
2018/11/23/00:00,2018/11/24/05:45,12.02334,7.7031565
2018/11/23/00:00,2018/11/24/06:00,11.57935,7.382811
2018/11/23/00:00,2018/11/24/06:15,9.803372,6.9230657
2018/11/23/00:00,2018/11/24/06:30,9.146262,7.0462284
2018/11/23/00:00,2018/11/24/06:45,8.293796,6.6679115
2018/11/23/00:00,2018/11/24/07:00,7.317010000000001,4.2578754
2018/11/23/00:00,2018/11/24/07:15,6.1803870000000005,4.089356
2018/11/23/00:00,2018/11/24/07:30,4.262336,3.6996984
2018/11/23/00:00,2018/11/24/07:45,1.722694,2.3369842
2018/11/23/00:00,2018/11/24/08:00,1.189902,1.0641651
2018/11/23/00:00,2018/11/24/08:15,0.7281489999999999,0.728688
2018/11/23/00:00,2018/11/24/08:30,0.319675,0.3018937
2018/11/23/00:00,2018/11/24/08:45,0.0177599999999999,0.069579124
2018/11/23/00:00,2018/11/24/09:00,0.0,0.01934886
2018/11/23/00:00,2018/11/24/09:15,0.0,0.01934886
2018/11/23/00:00,2018/11/24/09:30,0.0,0.01934886
2018/11/23/00:00,2018/11/24/09:45,0.0,0.01934886
2018/11/23/00:00,2018/11/24/10:00,0.0,0.018791437
2018/11/23/00:00,2018/11/24/10:15,0.0,0.018791437
2018/11/23/00:00,2018/11/24/10:30,0.0,0.018791437
2018/11/23/00:00,2018/11/24/10:45,0.0,0.018791437
2018/11/23/00:00,2018/11/24/11:00,0.0,0.061559677
2018/11/23/00:00,2018/11/24/11:15,0.0,0.061559677
2018/11/23/00:00,2018/11/24/11:30,0.0,0.061559677
2018/11/23/00:00,2018/11/24/11:45,0.0,0.061559677
2018/11/23/00:00,2018/11/24/12:00,0.0,0.053030014
2018/11/23/00:00,2018/11/24/12:15,0.0,0.053030014
2018/11/23/00:00,2018/11/24/12:30,0.0,0.053030014
2018/11/23/00:00,2018/11/24/12:45,0.0,0.053030014
2018/11/23/00:00,2018/11/24/13:00,0.0,0.04763913
2018/11/23/00:00,2018/11/24/13:15,0.0,0.04763913
2018/11/23/00:00,2018/11/24/13:30,0.0,0.04763913
2018/11/23/00:00,2018/11/24/13:45,0.0,0.04763913
2018/11/23/00:00,2018/11/24/14:00,0.0,0.047527313
2018/11/23/00:00,2018/11/24/14:15,0.0,0.047527313
2018/11/23/00:00,2018/11/24/14:30,0.0,0.047527313
2018/11/23/00:00,2018/11/24/14:45,0.0,0.047527313
2018/11/23/00:00,2018/11/24/15:00,0.0,0.047527313
2018/11/23/00:00,2018/11/24/15:15,0.0,0.047527313
2018/11/23/00:00,2018/11/24/15:30,0.0,0.047527313
2018/11/23/00:00,2018/11/24/15:45,0.0,0.047527313
2018/11/23/00:00,2018/11/24/16:00,0.0,0.047527313
2018/11/23/00:00,2018/11/24/16:15,0.0,0.047527313
2018/11/23/00:00,2018/11/24/16:30,0.0,0.047527313
2018/11/23/00:00,2018/11/24/16:45,0.0,0.047527313
2018/11/23/00:00,2018/11/24/17:00,0.0,0.047527313
