起报时间,预报时间,实际功率(MW),XGBoost预测功率(MW)
2018/08/24/00:00,2018/08/25/21:15,0.0,0.051321507
2018/08/24/00:00,2018/08/25/21:30,0.0,0.051321507
2018/08/24/00:00,2018/08/25/21:45,0.0,0.083495855
2018/08/24/00:00,2018/08/25/22:00,0.195357,0.2518704
2018/08/24/00:00,2018/08/25/22:15,0.443993,0.5059912
2018/08/24/00:00,2018/08/25/22:30,0.976785,1.1591809
2018/08/24/00:00,2018/08/25/22:45,1.154383,1.4632814
2018/08/24/00:00,2018/08/25/23:00,1.33198,1.9699514
2018/08/24/00:00,2018/08/25/23:15,1.33198,3.003688
2018/08/24/00:00,2018/08/25/23:30,2.131168,3.9606867
2018/08/24/00:00,2018/08/25/23:45,2.752759,4.5423555
2018/08/25/00:00,2018/08/26/00:00,3.267791,5.8900414
2018/08/25/00:00,2018/08/26/00:15,3.392109,6.900851
2018/08/25/00:00,2018/08/26/00:30,3.924901,8.013135
2018/08/25/00:00,2018/08/26/00:45,4.297855,8.231196
2018/08/25/00:00,2018/08/26/01:00,5.452238,9.279949
2018/08/25/00:00,2018/08/26/01:15,5.665355,10.349091
2018/08/25/00:00,2018/08/26/01:30,9.021944,10.589246
2018/08/25/00:00,2018/08/26/01:45,9.128503,10.952787
2018/08/25/00:00,2018/08/26/02:00,9.377139,11.187722
2018/08/25/00:00,2018/08/26/02:15,12.1299,11.194403
2018/08/25/00:00,2018/08/26/02:30,13.373079999999998,11.024016
2018/08/25/00:00,2018/08/26/02:45,13.444120000000002,11.074143
2018/08/25/00:00,2018/08/26/03:00,13.444120000000002,11.372679
2018/08/25/00:00,2018/08/26/03:15,14.82938,12.039314
2018/08/25/00:00,2018/08/26/03:30,15.32665,12.504586
2018/08/25/00:00,2018/08/26/03:45,15.379929999999998,12.579756
2018/08/25/00:00,2018/08/26/04:00,15.664079999999998,12.533777
2018/08/25/00:00,2018/08/26/04:15,15.664079999999998,12.426753
2018/08/25/00:00,2018/08/26/04:30,15.664079999999998,12.289821
2018/08/25/00:00,2018/08/26/04:45,15.202329999999998,12.164054
2018/08/25/00:00,2018/08/26/05:00,14.91818,12.193128
2018/08/25/00:00,2018/08/26/05:15,14.75834,12.095047
2018/08/25/00:00,2018/08/26/05:30,14.38538,11.270344
2018/08/25/00:00,2018/08/26/05:45,13.834829999999998,11.259952
2018/08/25/00:00,2018/08/26/06:00,13.53292,11.219067
2018/08/25/00:00,2018/08/26/06:15,13.53292,11.069279
2018/08/25/00:00,2018/08/26/06:30,11.97006,10.79879
2018/08/25/00:00,2018/08/26/06:45,11.15311,10.668148
2018/08/25/00:00,2018/08/26/07:00,10.56704,9.594293
2018/08/25/00:00,2018/08/26/07:15,10.56704,9.503872
2018/08/25/00:00,2018/08/26/07:30,8.737788,8.964209
2018/08/25/00:00,2018/08/26/07:45,7.707724000000001,8.650144
2018/08/25/00:00,2018/08/26/08:00,6.855257000000001,7.665484
2018/08/25/00:00,2018/08/26/08:15,6.855257000000001,5.6818476
2018/08/25/00:00,2018/08/26/08:30,6.038309,4.7852063
2018/08/25/00:00,2018/08/26/08:45,5.008245,4.1860514
2018/08/25/00:00,2018/08/26/09:00,3.534187,3.8514376
2018/08/25/00:00,2018/08/26/09:15,2.930356,2.0090518
2018/08/25/00:00,2018/08/26/09:30,1.98909,1.6649852
2018/08/25/00:00,2018/08/26/09:45,1.260941,1.2173197
2018/08/25/00:00,2018/08/26/10:00,0.763668,1.2412183
2018/08/25/00:00,2018/08/26/10:15,0.355195,0.42390394
2018/08/25/00:00,2018/08/26/10:30,0.124318,0.18573976
2018/08/25/00:00,2018/08/26/10:45,0.0,0.08745241
2018/08/25/00:00,2018/08/26/11:00,0.0,0.07941866
2018/08/25/00:00,2018/08/26/11:15,0.0,0.07941866
2018/08/25/00:00,2018/08/26/11:30,0.0,0.07941866
2018/08/25/00:00,2018/08/26/11:45,0.0,0.07941866
2018/08/25/00:00,2018/08/26/12:00,0.0,0.07817268
2018/08/25/00:00,2018/08/26/12:15,0.0,0.07817268
2018/08/25/00:00,2018/08/26/12:30,0.0,0.07817268
2018/08/25/00:00,2018/08/26/12:45,0.0,0.07817268
2018/08/25/00:00,2018/08/26/13:00,0.0,0.07610297
2018/08/25/00:00,2018/08/26/13:15,0.0,0.07610297
2018/08/25/00:00,2018/08/26/13:30,0.0,0.07610297
2018/08/25/00:00,2018/08/26/13:45,0.0,0.07610297
2018/08/25/00:00,2018/08/26/14:00,0.0,0.072675705
2018/08/25/00:00,2018/08/26/14:15,0.0,0.072675705
2018/08/25/00:00,2018/08/26/14:30,0.0,0.072675705
2018/08/25/00:00,2018/08/26/14:45,0.0,0.072675705
2018/08/25/00:00,2018/08/26/15:00,0.0,0.072675705
2018/08/25/00:00,2018/08/26/15:15,0.0,0.072675705
2018/08/25/00:00,2018/08/26/15:30,0.0,0.072675705
2018/08/25/00:00,2018/08/26/15:45,0.0,0.072675705
2018/08/25/00:00,2018/08/26/16:00,0.0,0.072675705
2018/08/25/00:00,2018/08/26/16:15,0.0,0.072675705
2018/08/25/00:00,2018/08/26/16:30,0.0,0.072675705
2018/08/25/00:00,2018/08/26/16:45,0.0,0.072675705
2018/08/25/00:00,2018/08/26/17:00,0.0,0.072675705
2018/08/25/00:00,2018/08/26/17:15,0.0,0.072675705
2018/08/25/00:00,2018/08/26/17:30,0.0,0.072675705
2018/08/25/00:00,2018/08/26/17:45,0.0,0.072675705
2018/08/25/00:00,2018/08/26/18:00,0.0,0.072675705
2018/08/25/00:00,2018/08/26/18:15,0.0,0.072675705
2018/08/25/00:00,2018/08/26/18:30,0.0,0.072675705
2018/08/25/00:00,2018/08/26/18:45,0.0,0.072675705
2018/08/25/00:00,2018/08/26/19:00,0.0,0.07945919
