起报时间,预报时间,实际功率(MW),XGBoost预测功率(MW)
2019/05/24/00:00,2019/05/25/00:00,6.819737,6.3050547
2019/05/24/00:00,2019/05/25/00:15,7.743244,6.8434772
2019/05/24/00:00,2019/05/25/00:30,8.61347,7.1064157
2019/05/24/00:00,2019/05/25/00:45,9.465938,7.2538834
2019/05/24/00:00,2019/05/25/01:00,10.31841,7.518445
2019/05/24/00:00,2019/05/25/01:15,11.17087,7.864711
2019/05/24/00:00,2019/05/25/01:30,12.00558,7.838727
2019/05/24/00:00,2019/05/25/01:45,12.50285,7.9290056
2019/05/24/00:00,2019/05/25/02:00,12.98236,9.851438
2019/05/24/00:00,2019/05/25/02:15,13.47964,11.213036
2019/05/24/00:00,2019/05/25/02:30,13.95915,12.520761
2019/05/24/00:00,2019/05/25/02:45,14.47418,12.746688
2019/05/24/00:00,2019/05/25/03:00,14.6873,12.304016
2019/05/24/00:00,2019/05/25/03:15,14.79386,12.200567
2019/05/24/00:00,2019/05/25/03:30,14.79386,12.43505
2019/05/24/00:00,2019/05/25/03:45,14.79386,12.390098
2019/05/24/00:00,2019/05/25/04:00,11.79246,12.469198
2019/05/24/00:00,2019/05/25/04:15,7.139411999999999,12.512957
2019/05/24/00:00,2019/05/25/04:30,6.926296000000001,12.5348835
2019/05/24/00:00,2019/05/25/04:45,6.837497,12.561953
2019/05/24/00:00,2019/05/25/05:00,6.926296000000001,12.275329
2019/05/24/00:00,2019/05/25/05:15,6.926296000000001,12.244199
2019/05/24/00:00,2019/05/25/05:30,9.235061,11.803401
2019/05/24/00:00,2019/05/25/05:45,13.28428,10.558046
2019/05/24/00:00,2019/05/25/06:00,13.28428,10.09313
2019/05/24/00:00,2019/05/25/06:15,12.64493,9.160713
2019/05/24/00:00,2019/05/25/06:30,12.43181,9.970224
2019/05/24/00:00,2019/05/25/06:45,12.43181,9.874484
2019/05/24/00:00,2019/05/25/07:00,11.15311,8.569032
2019/05/24/00:00,2019/05/25/07:15,10.88672,7.3576927
2019/05/24/00:00,2019/05/25/07:30,9.821133,7.2524815
2019/05/24/00:00,2019/05/25/07:45,8.577950999999999,6.5590124
2019/05/24/00:00,2019/05/25/08:00,5.487758,6.1724687
2019/05/24/00:00,2019/05/25/08:15,4.706329,5.286373
2019/05/24/00:00,2019/05/25/08:30,4.706329,4.954244
2019/05/24/00:00,2019/05/25/08:45,3.889381,4.6087427
2019/05/24/00:00,2019/05/25/09:00,3.889381,3.2030916
2019/05/24/00:00,2019/05/25/09:15,3.4809080000000003,2.4144511
2019/05/24/00:00,2019/05/25/09:30,2.504122,2.366322
2019/05/24/00:00,2019/05/25/09:45,1.775973,2.075949
2019/05/24/00:00,2019/05/25/10:00,1.296461,1.4862599
2019/05/24/00:00,2019/05/25/10:15,0.781428,1.1150093
2019/05/24/00:00,2019/05/25/10:30,0.266396,0.5759983
2019/05/24/00:00,2019/05/25/10:45,0.177597,0.2800882
2019/05/24/00:00,2019/05/25/11:00,0.071039,0.175735
2019/05/24/00:00,2019/05/25/11:15,0.0,0.04715371
2019/05/24/00:00,2019/05/25/11:30,0.0,0.04715371
2019/05/24/00:00,2019/05/25/11:45,0.0,0.04715371
2019/05/24/00:00,2019/05/25/12:00,0.0,0.03478241
2019/05/24/00:00,2019/05/25/12:15,0.0,0.03478241
2019/05/24/00:00,2019/05/25/12:30,0.0,0.03478241
2019/05/24/00:00,2019/05/25/12:45,0.0,0.03478241
2019/05/24/00:00,2019/05/25/13:00,0.0,0.032712698
2019/05/24/00:00,2019/05/25/13:15,0.0,0.032712698
2019/05/24/00:00,2019/05/25/13:30,0.0,0.032712698
2019/05/24/00:00,2019/05/25/13:45,0.0,0.032712698
